compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,45.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.1574195290525302,Compound 3531248556905510213
6.0,50.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.25233499311591445,Compound 3531248556905510213
6.0,60.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.5287888778377495,Compound 3531248556905510213
6.0,70.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.9198602347628017,Compound 3531248556905510213
6.0,80.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.4128687173921,Compound 3531248556905510213
6.0,90.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.9979038658474142,Compound 3531248556905510213
6.0,100.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.655641961085509,Compound 3531248556905510213
6.0,110.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,3.3512306242144954,Compound 3531248556905510213
6.0,120.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.058059279430247,Compound 3531248556905510213
6.0,130.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.788343406059684,Compound 3531248556905510213
6.0,140.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,5.536310187130443,Compound 3531248556905510213
6.0,150.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,6.276873740233959,Compound 3531248556905510213
6.0,160.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,7.008392723180796,Compound 3531248556905510213
6.0,170.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,7.713048053680087,Compound 3531248556905510213
6.0,180.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,8.424975746120595,Compound 3531248556905510213
6.0,190.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,9.165769248908042,Compound 3531248556905510213
