compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,153.56,6.0,6.0,0.93697,857.0,8.13,300.0,Compound -4606292053294921435,0.0,20.0,440.0,153.3812,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0023213816637426827,Compound -4606292053294921435
6.0,652.84,6.0,6.0,0.92963,7320.0,230.01,300.0,Compound -8362746125491913616,0.0,20.0,1600.0,65.9838,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0005227297025828517,Compound -8362746125491913616
6.0,9.88,6.0,6.0,0.93689,0.0113,85.45,300.0,Compound -4049401277912083351,0.0,20.0,0.082,2168.9977,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.0646776825785394e-08,Compound -4049401277912083351
6.0,21.82,6.0,6.0,0.99099,4.47e-06,856.02,300.0,Compound 5227468417320121311,0.0,20.0,0.002,133323.0752,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.6260888138701343e-12,Compound 5227468417320121311
6.0,7.46,6.0,6.0,0.94174,1.24e-05,128.97,300.0,Compound -8618108512604623353,0.0,20.0,0.00012,2795.6002,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.022947031801409e-12,Compound -8618108512604623353
6.0,39.06,6.0,6.0,0.94908,0.249,8.09,300.0,Compound 3150438667168722882,0.0,20.0,1.2,1490.8348,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.5086505448574414,Compound 3150438667168722882
6.0,0.98,6.0,6.0,0.99813,4.57,338.18,300.0,Compound 6232392702087048012,0.0,20.0,1.7,113.3227,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 6232392702087048012
6.0,85.28,6.0,6.0,0.90027,0.000328,0.35,300.0,Compound -8681209396201389771,0.0,20.0,7.2e-05,65.6412,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,13.728730059658172,Compound -8681209396201389771
6.0,8.5,6.0,6.0,0.95521,44.0,48.82,300.0,Compound 6474022898453963597,0.0,20.0,2000.0,13324.7313,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.2070639512218187e-07,Compound 6474022898453963597
6.0,20.37,6.0,6.0,0.92292,1.35e-06,6447.17,300.0,Compound 4681413395970306743,0.0,20.0,0.002,438454.5441,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 4681413395970306743
