,combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
4,6.0,2.13,6.0,6.0,0.97726,338.0,120.46,300.0,Compound -8657451524046216603,0.0,20.0,150000.0,135940.6553,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,1.5064408418447824e-07,Compound -8657451524046216603
5,6.0,52.42,6.0,6.0,0.93926,14900.0,82.23,300.0,Compound 2243837129378271835,0.0,20.0,17000.0,335.6073,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,5.398861124205938e-05,Compound 2243837129378271835
6,6.0,3.25,6.0,6.0,0.98294,1.31e-05,5.31,300.0,Compound -682162599201071114,0.0,20.0,0.43,9787269.6158,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,7.626348865704934e-05,Compound -682162599201071114
7,6.0,56.87,6.0,6.0,0.94325,225000.0,16.89,300.0,Compound 5263473716056788266,0.0,20.0,560000.0,748.0222,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,3.6973628890706416e-06,Compound 5263473716056788266
8,6.0,5.01,6.0,6.0,0.97473,3.6e-07,55.06,300.0,Compound -5150766792307767217,0.0,20.0,0.00082,682511.5539,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,8.331175843831508e-05,Compound -5150766792307767217
9,6.0,5.48,6.0,6.0,0.97292,13100.0,207.36,300.0,Compound -2149258701105497841,0.0,20.0,0.27,0.0062,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,1.9281204367735893e-05,Compound -2149258701105497841
10,6.0,582.91,6.0,6.0,0.91294,0.000818,7319.97,300.0,Compound -7771765647835549664,0.0,20.0,0.00059,216.0988,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.0,Compound -7771765647835549664
11,6.0,42.03,6.0,6.0,0.99131,0.247,269.86,300.0,Compound 1782621426100433767,0.0,20.0,0.0033,4.0132,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.002860851958691,Compound 1782621426100433767
12,6.0,219.84,6.0,6.0,0.90047,38600.0,12.45,300.0,Compound -5834390596454286951,0.0,20.0,760000.0,5864.9161,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,2.259566807116535e-05,Compound -5834390596454286951
13,6.0,53.3,6.0,6.0,0.96687,0.277,188.97,300.0,Compound -5516577437845891156,0.0,20.0,0.00034,0.3677,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0010864099183753,Compound -5516577437845891156
14,6.0,336.16,6.0,6.0,0.98755,5.26e-06,1286.99,300.0,Compound -6785289410508177808,0.0,20.0,2.5e-06,142.9056,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.1020794340934227,Compound -6785289410508177808
15,6.0,0.84,6.0,6.0,0.99775,1.09e-05,5.96,300.0,Compound -5465263374720976271,0.0,20.0,0.013,363487.9636,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.731426797597083e-09,Compound -5465263374720976271
16,6.0,540.51,6.0,6.0,0.93365,5210000.0,8.5,300.0,Compound 8826640693794380349,0.0,20.0,7300000.0,423.0016,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,8.453297374668342e-07,Compound 8826640693794380349
17,6.0,114.89,6.0,6.0,0.9495,0.00339,507.98,300.0,Compound -9202809462064637377,0.0,20.0,0.00031,27.6724,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0270102330742791,Compound -9202809462064637377
18,6.0,530.06,6.0,6.0,0.93211,0.0118,18084.61,300.0,Compound 7068174757393077311,0.0,20.0,0.019,478.852,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0,Compound 7068174757393077311
19,6.0,1361.14,6.0,6.0,0.99843,0.00464,129.72,300.0,Compound 3649602887436430318,0.0,20.0,1.8e-05,1.1928,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,14.64683711939167,Compound 3649602887436430318
20,6.0,454.78,6.0,6.0,0.96441,0.0125,120.02,300.0,Compound 643954583037114443,0.0,20.0,15.0,372388.3172,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,9.000179233998697,Compound 643954583037114443
21,6.0,58.97,6.0,6.0,0.95953,15300.0,7.02,300.0,Compound 7413622958310840747,0.0,20.0,29000.0,573.3568,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.0001072905198544,Compound 7413622958310840747
22,6.0,141.49,6.0,6.0,0.92438,0.427,27.64,300.0,Compound 8663564740193889851,0.0,20.0,5.5e-06,0.0038,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,4.134835801297991,Compound 8663564740193889851
23,6.0,1042.81,6.0,6.0,0.90024,0.24,2533.4,300.0,Compound -2732625844528773494,0.0,20.0,0.00018,0.2313,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,2.0727313475311201e-13,Compound -2732625844528773494
24,6.0,441.34,6.0,6.0,0.97899,41800.0,1099.25,300.0,Compound -6907613156961518725,0.0,20.0,54000.0,387.3742,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,1.0948215222195655e-05,Compound -6907613156961518725
25,6.0,2.67,6.0,6.0,0.99681,8.87e-05,30.22,300.0,Compound -3349138375368284254,0.0,20.0,0.0032,10869.3584,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0065014786451969,Compound -3349138375368284254
26,6.0,779.7,6.0,6.0,0.95556,1.5,502.92,300.0,Compound 4399726181521440862,0.0,20.0,0.39,77.7795,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.2686265944168772,Compound 4399726181521440862
27,6.0,5.61,6.0,6.0,0.92669,8.42e-07,4.96,300.0,Compound -2106074517850829816,0.0,20.0,0.0045,1610977.022,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0003735600839186,Compound -2106074517850829816
28,6.0,456.23,6.0,6.0,0.96387,0.00147,6.87,300.0,Compound 491977554629592511,0.0,20.0,2.9e-06,0.5869,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,40.5681175355804,Compound 491977554629592511
29,6.0,82.43,6.0,6.0,0.9006,122.0,19.5,300.0,Compound 7836415397602290849,0.0,20.0,16000.0,39316.0942,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.0078270540242303,Compound 7836415397602290849
30,6.0,70.93,6.0,6.0,0.92033,100000.0,0.21,300.0,Compound -2521852883032826090,0.0,20.0,24000.0,72.1248,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,1.6550345987531684e-05,Compound -2521852883032826090
31,6.0,37.63,6.0,6.0,0.97987,3380.0,9.55,300.0,Compound -4888799978375883352,0.0,20.0,15000.0,1311.0179,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0009034253828608,Compound -4888799978375883352
32,6.0,2222.61,6.0,6.0,0.98535,0.00663,3370.24,300.0,Compound 2629906085100207124,0.0,20.0,0.0051,230.9008,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.4888168948924372e-08,Compound 2629906085100207124
33,6.0,39.27,6.0,6.0,0.95722,0.305,10.13,300.0,Compound 105131005535925719,0.0,20.0,1300.0,1289745.4424,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.4293558740110464,Compound 105131005535925719
34,6.0,240.83,6.0,6.0,0.90882,1010.0,0.67,300.0,Compound 279860471479959846,0.0,20.0,4300.0,1293.0762,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0009205582539569,Compound 279860471479959846
35,6.0,823.87,6.0,6.0,0.97221,0.000805,5527.65,300.0,Compound 6008499228943858208,0.0,20.0,2.4,891082.1365,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,5.216779628657343e-07,Compound 6008499228943858208
36,6.0,17.83,6.0,6.0,0.91852,32.1,5.51,300.0,Compound 7611798602921512085,0.0,20.0,0.032,0.2993,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.011764944485459,Compound 7611798602921512085
37,6.0,99.19,6.0,6.0,0.99412,0.102,844.01,300.0,Compound -2668031855857387977,0.0,20.0,0.0044,12.9324,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0001122900146592,Compound -2668031855857387977
38,6.0,91.03,6.0,6.0,0.946,6.56,55.95,300.0,Compound 1051136828786757035,0.0,20.0,340.0,15398.0043,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0289516758014197,Compound 1051136828786757035
39,6.0,2.96,6.0,6.0,0.96135,1.43e-09,2.28,300.0,Compound -4180603490323584335,0.0,20.0,2.4e-06,491899.9465,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.0729346406597593e-06,Compound -4180603490323584335
