combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,234.07,6.0,6.0,0.81,0.00135,2002.0,300.0,Compound 9166781803962826309,0.0,20.0,0.009,2002.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 9166781803962826309
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,109.25,6.0,6.0,1.0,2030000.0,190.0,300.0,Compound 1550101516385657569,0.0,20.0,1300000.0,190.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 1550101516385657569
6.0,58.3,6.0,6.0,0.94,1.19,3034.0,300.0,Compound 223108879985163474,0.0,20.0,12.0,3034.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 223108879985163474
6.0,52.0,6.0,6.0,0.838,6.49e-08,184872.89,300.0,Compound -11315181390745994,0.0,20.0,4e-05,184872.8878,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -11315181390745994
6.0,33.4,6.0,6.0,0.849,4.5e-05,189326.0,300.0,Compound -4522240583991929735,0.0,20.0,0.028,189325.9994,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -4522240583991929735
6.0,120.4,6.0,6.0,1.15,0.0501,10777.0,300.0,Compound 2297355771629914443,0.0,20.0,1.8,10777.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 2297355771629914443
6.0,90.93,6.0,6.0,1.0,38300.0,411.0,300.0,Compound 6528839379568203262,0.0,20.0,52000.0,411.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 6528839379568203262
6.0,531.0,6.0,6.0,1.0,1490000.0,20328.0,300.0,Compound 3759328349909507659,0.0,20.0,100000000.0,20328.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 3759328349909507659
6.0,19.33,6.0,6.0,0.798,3.52e-08,189340.79,300.0,Compound 253385595147681688,0.0,20.0,2.2e-05,189340.7939,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 253385595147681688
6.0,23.5,6.0,6.0,1.0,9.91e-05,75683.0,300.0,Compound -4757133480110704362,0.0,20.0,0.025,75683.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -4757133480110704362
6.0,326.69,6.0,6.0,1.0,459.0,224370.54,300.0,Compound -1649290514242587156,0.0,20.0,340000.0,224370.5375,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -1649290514242587156
6.0,6.5,6.0,6.0,0.955,0.0219,45220.48,300.0,Compound -2596077512093660077,0.0,20.0,3.3,45220.4835,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -2596077512093660077
6.0,536.78,6.0,6.0,1.0,1700.0,156660.28,300.0,Compound 2595335547329817255,0.0,20.0,890000.0,156660.2809,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 2595335547329817255
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,8.2,6.0,6.0,1.0,10.2,47.0,300.0,Compound -7563851974660351380,0.0,20.0,1.6,47.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -7563851974660351380
6.0,318.5,6.0,6.0,0.907,9.78e-08,368254.83,300.0,Compound -4482595673077403672,0.0,20.0,0.00012,368254.8328,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -4482595673077403672
6.0,429.0,6.0,6.0,1.0,12000000000.0,5.0,300.0,Compound 4834756487233473138,0.0,20.0,200000000.0,5.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 4834756487233473138
