combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,199.0,6.0,6.0,0.859,0.0436,15597.25,300.0,Compound 1139669782804254412,0.0,20.0,2.3,15597.2463,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 1139669782804254412
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound 6097742137976599016,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.0,Compound 6097742137976599016
6.0,199.0,6.0,6.0,0.859,0.0436,15597.25,300.0,Compound 1139669782804254412,0.0,20.0,2.3,15597.2463,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.0,Compound 1139669782804254412
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound 6097742137976599016,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0,Compound 6097742137976599016
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound 6097742137976599016,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 6097742137976599016
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound 6097742137976599016,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.0,Compound 6097742137976599016
6.0,17.3,6.0,6.0,1.08,480.0,1179677.21,300.0,Compound 4045479456573323715,0.0,20.0,1900000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,2.6636802487317952e-20,Compound 4045479456573323715
6.0,17.3,6.0,6.0,1.08,480.0,1179677.21,300.0,Compound 4045479456573323715,0.0,20.0,1900000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,8.655564184370541e-21,Compound 4045479456573323715
6.0,17.3,6.0,6.0,0.929,460.0,1179677.21,300.0,Compound -820032156691512206,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0,Compound -820032156691512206
6.0,17.3,6.0,6.0,0.929,460.0,1179677.21,300.0,Compound -820032156691512206,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -820032156691512206
6.0,17.3,6.0,6.0,1.08,480.0,1179677.21,300.0,Compound 4045479456573323715,0.0,20.0,1900000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 4045479456573323715
