39 Crops
Crop       Root Depth  Intercept LAIMax  Aft.Harv  Dry Mass   Emergence   Maturation   Harvest   Senescence Tillage  poorly exposded fr  irr pren KC1   KC2  Tlflg LAIMIN  Springpt DD MM Beer LAI_SP AMXDR_SP CINTCP_SP  
Cabbage 1st     100       0.5       3.0     3        1.35        20 04 01    31 05 01    15 07 01   30 06 01  01 03 01 0.2 0.2 0.2 0.2    1   0   1.00  0.86   0     0        0     00 00 0.39 0.0        0.0     0.0
Carrots 1st     100       0.5       3.0     3        1.35        10 03 01    20 04 01    31 05 01   01 05 01  01 03 01 0.2 0.2 0.2 0.2    1   0   1.05  0.75   0     0        0     00 00 0.39 0.0        0.0     0.0
Summer Rape      90       0.0       3.0     1        1.00        22 03 01    31 05 01    25 08 01   26 07 01  22 02 01 0.2 0.2 0.2 0.2    1   0   1.00  0.86   0     0        0     00 00 0.39 0.0        0.0     0.0
Bushberries      60       0.0       4.0     1        1.00        10 05 01    25 05 01    25 10 01   06 08 01  10 04 01 0.2 0.2 0.2 0.2    1   0   0.75  0.55   0     0        0     00 00 0.39 0.0        0.0     0.0
Citrus          150       0.0       6.0     3        1.00        01 01 01    02 01 01    01 01 99   01 01 99  01 01 01 0.2 0.2 0.2 0.2    1   1   0.60  0.60   0     6.       0     00 00 0.39 0.0        0.0     0.0
Cotton           60       0.0       5.0     1        1.00        05 04 01    30 04 01    31 07 01   15 06 01  05 03 01 0.2 0.2 0.2 0.2    1   0   1.15  0.65   0     0        0     00 00 0.39 0.0        0.0     0.0
Linseed          60       0.0       3.0     1        1.00        30 03 01    25 06 01    25 09 01   18 08 01  30 02 01 0.2 0.2 0.2 0.2    1   0   1.05  0.25   0     0        0     00 00 0.39 0.0        0.0     0.0
Onions           60       0.0       3.0     1        1.00        25 04 01    30 06 01    01 09 01   18 07 01  25 03 01 0.2 0.2 0.2 0.2    1   0   0.95  0.75   0     0        0     00 00 0.39 0.0        0.0     0.0
Peas (animals)   60       0.0       4.0     1        1.00        05 04 01    07 06 01    15 08 01   31 07 01  05 03 01 0.2 0.2 0.2 0.2    1   0   1.10  1.00   0     0        0     00 00 0.39 0.0        0.0     0.0
Tobacco         100       0.0       4.0     1        1.00        20 05 01    20 07 01    05 10 01   25 09 01  20 04 01 0.2 0.2 0.2 0.2    1   0   1.00  0.86   0     0        0     00 00 0.39 0.0        0.0     0.0
Hop             100       0.3       3.0     2        1.00        15 04 01    01 09 01    01 09 01   01 09 01  15 03 01 0.2 0.2 0.2 0.2    1   1   0.75  0.55   0     0        0     00 00 0.39 0.0        0.0     0.0
Cabbage 2nd     100       0.5       3.0     3        1.35        31 07 01    05 09 01    15 10 01   30 09 01  01 03 01 0.2 0.2 0.2 0.2    1   0   1.00  0.86   0     0        0     00 00 0.39 0.0        0.0     0.0
Carrots 2nd     100       0.5       3.0     3        1.35        10 07 01    10 08 01    20 09 01   21 08 01  01 03 01 0.2 0.2 0.2 0.2    1   0   1.05  0.75   0     0        0     00 00 0.39 0.0        0.0     0.0
olives          150       0.0       3.0     3        1.00        01 01 01    02 01 01    01 01 99   01 01 99  01 01 01 0.2 0.2 0.2 0.2    1   1   0.60  0.60   0     3.       0     00 00 0.39 0.0        0.0     0.0
