compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.koc,compound.metabolites.0.formation_fraction,compound.metabolites.0.metabolite.dt50.sediment,compound.metabolites.0.metabolite.dt50.soil,compound.metabolites.0.metabolite.dt50.surfaceWater,compound.metabolites.0.metabolite.dt50.system,compound.metabolites.0.metabolite.freundlich,compound.metabolites.0.metabolite.koc,compound.metabolites.0.metabolite.molarMass,compound.metabolites.0.metabolite.name,compound.metabolites.0.metabolite.plant_uptake,compound.metabolites.0.metabolite.reference_temperature,compound.metabolites.0.metabolite.vapor_pressure,compound.metabolites.0.metabolite.water_solubility,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,1.compound_pec,0.compound_name,1.compound_name
6.0,253.98,6.0,6.0,0.81879,0.32,0.2,6.0,51.22,6.0,6.0,0.91075,63.46,300.0,Compound 1403918434729119776,0.0,20.0,0.0001,80.0,300.0,Compound 6440784857530467902,0.0,20.0,1.7e-06,5978.2484,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,42.86757995317437,0.28556419848788994,Compound 6440784857530467902,Compound 1403918434729119776
6.0,98.37,6.0,6.0,1.02797,0.47,0.2,6.0,133.74,6.0,6.0,0.9982,381.1,300.0,Compound 5884356561366473452,0.0,20.0,0.0001,80.0,300.0,Compound -8798642283227725001,0.0,20.0,0.42,8.1593,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,0.2474411813153034,0.006534136407791035,Compound -8798642283227725001,Compound 5884356561366473452
6.0,433.47,6.0,6.0,0.80972,824.95,0.2,6.0,335.4,6.0,6.0,1.16189,1.07,300.0,Compound 1300737185046351805,0.0,20.0,0.0001,80.0,300.0,Compound -4273736744980164662,0.0,20.0,5e-08,2.7409,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,4.7829100470684323e-14,8.72088153731065,Compound -4273736744980164662,Compound 1300737185046351805
6.0,429.36,6.0,6.0,1.08652,58.05,0.2,6.0,67.93,6.0,6.0,0.87935,253.19,300.0,Compound -907272808236153198,0.0,20.0,0.0001,80.0,300.0,Compound -3031936037340945445,0.0,20.0,6.9e-07,6.9827,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,33.158616519826396,0.13012473643970718,Compound -3031936037340945445,Compound -907272808236153198
6.0,332.52,6.0,6.0,0.71766,1.68,0.2,6.0,12.85,6.0,6.0,0.82421,0.51,300.0,Compound 69279302675735972,0.0,20.0,0.0001,80.0,300.0,Compound -6399644811392039243,0.0,20.0,2.5e-05,177.6333,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,39.67502137738838,0.33353877001113386,Compound -6399644811392039243,Compound 69279302675735972
6.0,290.99,6.0,6.0,1.12086,0.59,0.2,6.0,2.53,6.0,6.0,0.73952,15.91,300.0,Compound 13275812141620917,0.0,20.0,0.0001,80.0,300.0,Compound 8497375383936047771,0.0,20.0,4.2e-05,61.5321,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,35.30075845275074,0.028691572034532365,Compound 8497375383936047771,Compound 13275812141620917
6.0,98.06,6.0,6.0,0.74394,51.77,0.2,6.0,95.73,6.0,6.0,1.08241,2.15,300.0,Compound 4454818855792630118,0.0,20.0,0.0001,80.0,300.0,Compound 7261456795714354547,0.0,20.0,3.2e-06,100.7533,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,1.451647218852818,6.5730474907359815,Compound 7261456795714354547,Compound 4454818855792630118
6.0,235.47,6.0,6.0,0.94812,48.93,0.2,6.0,1.24,6.0,6.0,0.9839,76.16,300.0,Compound -9209647362766608279,0.0,20.0,0.0001,80.0,300.0,Compound 3878386050961263825,0.0,20.0,3.1e-07,0.3554,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,21.031188670063415,0.019804894182848434,Compound 3878386050961263825,Compound -9209647362766608279
6.0,112.68,6.0,6.0,0.74438,4.5,0.2,6.0,78.9,6.0,6.0,0.83804,0.53,300.0,Compound -689588962497131106,0.0,20.0,0.0001,80.0,300.0,Compound -3352482269149223104,0.0,20.0,1.4e-06,333.6766,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,25.925974045330914,3.2923958300341813,Compound -3352482269149223104,Compound -689588962497131106
6.0,382.21,6.0,6.0,0.81606,8.56,0.2,6.0,9.07,6.0,6.0,1.0687,13.35,300.0,Compound -8057793742979511257,0.0,20.0,0.0001,80.0,300.0,Compound -6259520936135746383,0.0,20.0,6.9e-06,1292.3259,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,39.52288012489433,0.23181746655553576,Compound -6259520936135746383,Compound -8057793742979511257
