combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,39.06,6.0,6.0,0.92058,0.00046,10.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.8281269981183432,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,20.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.9211334934715915,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,30.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.45345867716929233,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,40.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.2235565790798349,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,50.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.1067377548526742,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,60.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.051615749598076396,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,70.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.023097660748324027,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,80.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.011066653594983683,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,90.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.00568531784153308,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,100.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0029348073135614847,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,150.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.871580273578115e-05,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,200.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.8920086393088553e-06,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,250.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.6356300891752116e-08,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,300.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.2813692490251328e-09,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,350.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.072329727791818e-11,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,400.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.768658125791908e-13,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,450.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.519871074127771e-14,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,500.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.2419052070431947e-16,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,550.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.2043644484653172e-17,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,600.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.9570471601562196e-19,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,650.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.810394343995291e-21,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,700.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,750.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,800.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,850.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,900.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,39.06,6.0,6.0,0.92058,0.00046,950.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
