combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,1.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,2.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.2148548662492885e-22,Compound 3195551981900868001
6.0,3.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.5509219562495163e-17,Compound 3195551981900868001
6.0,4.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.4785211117480142e-14,Compound 3195551981900868001
6.0,5.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.659123713461823e-12,Compound 3195551981900868001
6.0,6.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.134493347484652e-10,Compound 3195551981900868001
6.0,7.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.604317878229517e-08,Compound 3195551981900868001
6.0,8.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.6159162198949466e-07,Compound 3195551981900868001
6.0,9.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,9.219934767105535e-07,Compound 3195551981900868001
6.0,10.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.777640811776533e-06,Compound 3195551981900868001
6.0,15.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.00014927394435896828,Compound 3195551981900868001
6.0,20.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.001713068656231906,Compound 3195551981900868001
6.0,25.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.00846498323040595,Compound 3195551981900868001
6.0,30.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.02698326001955034,Compound 3195551981900868001
6.0,35.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0639866260531583,Compound 3195551981900868001
6.0,40.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.12732273774612482,Compound 3195551981900868001
6.0,45.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.22221701461620816,Compound 3195551981900868001
6.0,50.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.3512246020108923,Compound 3195551981900868001
6.0,60.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.7104520989421876,Compound 3195551981900868001
6.0,70.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.1858089821126399,Compound 3195551981900868001
6.0,80.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.7649809807780563,Compound 3195551981900868001
6.0,90.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.425687599073112,Compound 3195551981900868001
6.0,100.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.1388144113950567,Compound 3195551981900868001
6.0,110.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.9060026691668988,Compound 3195551981900868001
6.0,120.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.689470144686604,Compound 3195551981900868001
6.0,130.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.464882213778111,Compound 3195551981900868001
6.0,140.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.236988934733683,Compound 3195551981900868001
6.0,150.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.990145973993498,Compound 3195551981900868001
6.0,160.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.743146287619391,Compound 3195551981900868001
6.0,170.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,8.61501697002463,Compound 3195551981900868001
6.0,180.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,9.36027083245672,Compound 3195551981900868001
6.0,190.0,6.0,6.0,0.92058,0.00046,49.21,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,10.130160160572348,Compound 3195551981900868001
